pair_id,regime,source,n_tokens,n_chars,avg_word_length,type_token_ratio,pct_stopwords,n_proper_nouns,n_numbers,n_entities,has_quote,has_date,has_person,n_sentences,avg_sent_length,max_depth,n_clauses,is_cultural,is_medical,is_scientific,is_historical,is_geographic,has_superlative,has_negation,is_surprising,is_declarative,brevity,references_fiction,references_brand
tuberculosis_cause,0,medical,7,34,4.142857142857143,1.0,0.42857142857142855,0,0,0,0,0,0,1,7.0,3,0,0,0,0,0,0,0,0,0,1,0.02857142857142857,0,0
scurvy_cause,0,medical,8,41,4.375,1.0,0.375,1,0,1,0,0,0,1,8.0,4,0,0,1,0,0,0,0,0,0,1,0.023809523809523808,0,0
rabies_transmission,0,medical,7,49,6.285714285714286,1.0,0.2857142857142857,0,0,0,0,0,0,1,7.0,3,0,0,0,0,0,0,0,0,0,1,0.02,0,0
vaccine_mechanism,0,medical,10,63,5.5,1.0,0.3,0,0,1,0,0,0,1,10.0,5,0,0,1,0,0,0,0,0,0,1,0.015625,0,0
handwashing,0,medical,11,63,4.909090909090909,1.0,0.45454545454545453,1,0,0,0,0,0,1,11.0,6,0,0,1,0,0,0,0,1,0,1,0.015625,0,0
smoking_cancer,0,medical,8,42,4.5,1.0,0.25,0,0,0,0,0,0,1,8.0,4,0,0,1,0,0,0,0,0,0,1,0.023255813953488372,0,0
alcohol_liver,0,medical,7,52,6.714285714285714,1.0,0.14285714285714285,0,0,0,0,0,0,1,7.0,2,0,0,1,0,0,0,0,0,0,1,0.018867924528301886,0,0
vitamin_d_sunlight,0,medical,9,44,4.111111111111111,1.0,0.5555555555555556,0,0,0,0,0,0,1,9.0,2,0,0,1,0,0,0,0,0,0,1,0.022222222222222223,0,0
iron_anemia,0,medical,6,35,5.166666666666667,1.0,0.16666666666666666,0,0,0,0,0,0,1,6.0,2,0,0,1,0,0,0,0,0,0,1,0.027777777777777776,0,0
brain_energy,0,medical,12,60,4.25,0.9166666666666666,0.25,0,1,1,1,0,0,1,12.0,5,0,0,1,0,0,0,0,0,0,1,0.01639344262295082,0,0
neuron_communication,0,medical,7,52,6.714285714285714,1.0,0.2857142857142857,0,0,0,0,0,0,1,7.0,3,0,0,0,0,0,0,0,0,0,1,0.018867924528301886,0,0
dna_structure,0,medical,6,35,5.166666666666667,1.0,0.3333333333333333,0,0,0,0,0,0,1,8.0,3,0,0,1,0,0,0,0,0,0,1,0.027777777777777776,0,0
chromosome_count,0,medical,8,46,5.0,1.0,0.25,0,1,1,0,0,0,1,8.0,3,0,0,1,0,0,0,0,0,0,1,0.02127659574468085,0,0
snow_white,1,mandela_orig,7,27,3.2857142857142856,0.8571428571428571,0.2857142857142857,0,0,0,0,0,0,1,7.0,3,0,1,0,0,0,0,0,0,0,1,0.03571428571428571,0,0
forrest_gump,1,mandela_orig,8,33,3.375,1.0,0.375,0,0,0,0,0,0,1,8.0,4,0,1,0,0,0,0,0,0,0,1,0.029411764705882353,0,0
silence_lambs,1,mandela_orig,4,15,3.5,1.0,0.0,1,0,1,0,0,0,1,4.0,1,0,0,0,0,0,0,0,0,0,1,0.0625,1,0
money_evil,1,mandela_orig,8,30,3.0,1.0,0.5,0,0,0,0,0,0,1,8.0,4,0,0,0,0,0,0,0,0,0,1,0.03225806451612903,0,0
curiosity_cat,1,mandela_orig,5,25,4.4,1.0,0.2,0,0,0,0,0,0,1,5.0,2,0,0,0,0,0,0,0,0,0,1,0.038461538461538464,0,0
play_it_sam,1,mandela_orig,6,19,2.6666666666666665,1.0,0.3333333333333333,1,0,1,0,0,1,1,6.0,1,0,1,0,0,0,0,0,0,0,1,0.05,1,0
berenstain,1,mandela_orig,11,59,4.636363636363637,1.0,0.2727272727272727,2,0,1,1,0,0,1,11.0,3,0,1,0,0,0,0,0,0,0,1,0.016666666666666666,1,1
curious_george,1,mandela_orig,9,42,3.888888888888889,1.0,0.3333333333333333,2,0,1,0,0,1,1,9.0,2,0,0,0,0,0,0,0,0,0,1,0.023255813953488372,0,0
monopoly_man,1,mandela_orig,7,33,4.0,1.0,0.2857142857142857,2,0,0,0,0,0,1,7.0,2,0,0,0,0,0,0,0,0,0,1,0.029411764705882353,0,1
fruit_loom,1,mandela_orig,10,44,3.6,0.9,0.5,2,0,1,0,0,0,1,10.0,4,0,0,0,0,0,0,0,0,0,1,0.022222222222222223,0,1
mandela_death,1,mandela_orig,8,42,4.375,0.875,0.375,2,1,2,0,1,1,1,8.0,3,0,0,0,0,0,0,0,0,0,1,0.023255813953488372,0,0
chartreuse,1,mandela_orig,9,41,3.7777777777777777,1.0,0.4444444444444444,2,0,2,0,0,0,1,9.0,4,0,0,0,0,0,0,0,0,0,1,0.023809523809523808,0,0
oscar_mayer,1,mandela_orig,10,49,4.1,0.9,0.4,2,0,1,0,0,1,1,10.0,4,0,0,0,0,0,0,0,0,0,1,0.02,0,1
star_wars_context,1,mandela_exp_context,15,55,3.1333333333333333,0.9333333333333333,0.26666666666666666,5,0,2,1,0,1,1,15.0,3,1,1,0,0,1,0,0,0,0,1,0.017857142857142856,1,0
we_are_champions_raw,1,mandela_exp_raw,11,45,3.5454545454545454,0.9090909090909091,0.5454545454545454,1,0,0,1,0,0,1,11.0,5,1,1,0,0,0,0,0,0,0,1,0.021739130434782608,0,0
risky_business_raw,1,mandela_exp_raw,14,80,4.857142857142857,0.9285714285714286,0.2857142857142857,4,0,1,0,0,1,1,16.0,4,0,0,0,0,0,0,0,0,0,1,0.012345679012345678,0,0
mandela_death_raw,1,mandela_exp_raw,8,42,4.375,0.875,0.375,2,1,2,0,1,1,1,8.0,3,0,0,0,0,0,0,0,0,0,1,0.023255813953488372,0,0
silence_of_lambs_raw,1,mandela_exp_raw,3,14,4.333333333333333,1.0,0.0,1,0,1,0,0,0,1,3.0,1,0,0,0,0,0,0,0,0,0,1,0.06666666666666667,1,0
silence_of_lambs_context,1,mandela_exp_context,18,86,4.166666666666667,0.8333333333333334,0.2777777777777778,4,0,3,1,0,0,1,18.0,5,0,0,0,0,0,0,0,0,0,1,0.011494252873563218,1,0
sherlock_elementary_context,1,mandela_exp_context,11,58,4.818181818181818,1.0,0.09090909090909091,4,0,3,1,0,1,1,11.0,3,0,0,0,0,0,0,0,0,0,1,0.01694915254237288,1,0
casablanca_play_it_raw,1,mandela_exp_raw,5,18,3.0,1.0,0.4,1,0,1,0,0,1,1,5.0,1,0,1,0,0,0,0,0,0,0,1,0.05263157894736842,1,0
casablanca_play_it_context,1,mandela_exp_context,14,54,3.357142857142857,0.9285714285714286,0.35714285714285715,2,0,2,1,0,1,1,14.0,2,1,1,0,0,0,0,0,0,0,1,0.01818181818181818,1,0
